"Region","Year","Population age 15 to 24","Population age 15 to 19","Population coverage (age 15 to 24)","Population coverage (age 15 to 19)","X10q15","X5q15","X5q20","Deaths.age.15to24.median","Deaths.age.15to19.median","Deaths.age.20to24.median"
"West and Central Africa",2009,40096968,21616632,100,100,27.2618627764343,12.5188527523272,14.9299154370685,110060,54463,55597
"World",2009,623485327,315008781,100,100,14.6839471289677,6.32299734712966,8.41415244542874,920934,399616,521318
"South Asia",2010,166862356,86705319,100,100,15.1007594360124,6.41643907025886,8.74040262665693,252356,111624,140732
"Sub-Saharan Africa",2010,87697801,47002972,100,100,28.5796573249265,12.5495332778278,16.233851304269,251921,118715,133206
"Europe and Central Asia",2010,62555181,29409838,100,100,9.30289407693485,3.2939213588921,6.02883121394762,59504,19414,40090
"Middle East and North Africa",2010,41587154,20256533,100,100,11.8737568700923,5.34788240941058,6.56096171241241,49814,21725,28089
"Latin America and Caribbean",2010,54053941,27616163,100,100,20.3847442762486,8.23933211500749,12.2463136062273,110862,45696,65166
"East Asia and Pacific",2010,187656579,88596138,100,100,8.90304690749943,3.90162994450655,5.02100707454646,168995,69268,99727
"North America",2010,24783584,12483569,100,100,9.50825080917339,3.44858428717843,6.08063610813352,23625,8626,14999
"Eastern and Southern Africa",2010,46544018,24781696,100,100,29.8594449767563,12.6534309194325,17.4265193156506,139625,63113,76512
"Eastern Europe and Central Asia",2010,33245102,15279202,100,100,12.5998383867363,4.39337198042205,8.24267956375327,43206,13460,29746
"Western Europe",2010,29310079,14130636,99.99,99.99,5.49852215425661,2.10365173934104,3.40202709513156,16298,5954,10344
"West and Central Africa",2010,41153783,22221276,100,100,27.1100160272578,12.4336513405956,14.8611429567087,112296,55602,56694
"World",2010,625196596,312070532,100,100,14.5580411757964,6.30977483247227,8.30064152229485,917071,395067,522004
"South Asia",2011,168848005,87655821,100,100,14.7433602264951,6.22294626766009,8.57376805676366,249256,109434,139822
"Sub-Saharan Africa",2011,89840140,48184490,100,100,28.2667911742603,12.4393491881661,16.026805009984,255223,120623,134600
"Europe and Central Asia",2011,61564283,28693349,100,100,8.79717118301659,3.12973503351416,5.68522941116413,55480,17990,37490
"Middle East and North Africa",2011,41246455,19981780,100,100,12.0559905576826,5.38637454868151,6.70573561263509,50207,21590,28617
"Latin America and Caribbean",2011,54279426,27658754,100,100,19.3988398742228,7.77245042584612,11.7174628474755,105917,43165,62752
"East Asia and Pacific",2011,184975972,85404269,100,100,8.79377534769288,3.84771841995873,4.96516147098414,164972,65847,99125
"North America",2011,24861265,12363714,100,100,9.24366839934176,3.28366015098538,5.97964336499115,23120,8132,14988
"Eastern and Southern Africa",2011,47563411,25321572,100,100,29.2306952220469,12.4096978573447,17.0323638539258,139653,63236,76417
"Eastern Europe and Central Asia",2011,32493933,14800865,100,100,11.9630531935091,4.20541931064497,7.79039576364612,40152,12474,27678
"Western Europe",2011,29070350,13892484,99.99,99.99,5.20135345988593,1.98235128436982,3.22539604350542,15327,5516,9811
"West and Central Africa",2011,42276729,22862918,100,100,27.1601941744574,12.4721881592191,14.8735112460878,115570,57387,58183
"World",2011,625615546,309942177,100,100,14.3309776623564,6.22016672356183,8.16157731039232,904173,386780,517393
"South Asia",2012,170763067,88536671,100,100,14.4157536632265,6.07052066769061,8.39620231522039,246479,107819,138660
"Sub-Saharan Africa",2012,91972445,49376014,100,100,28.0297176735951,12.3317438150922,15.8939742774967,259022,122534,136488
"Europe and Central Asia",2012,60371920,28029687,100,100,8.38539729689547,2.99512171887889,5.40646860957145,51888,16817,35071
"Middle East and North Africa",2012,40713747,19665848,100,100,13.7267386619011,5.95096321140703,7.82232582369862,56557,23487,33070
"Latin America and Caribbean",2012,54433475,27674370,100,100,19.2741254124134,7.77184634982019,11.5923732059798,105593,43188,62405
"East Asia and Pacific",2012,181160362,83553337,100,100,8.64912380309923,3.7525206172263,4.9150470010791,159010,62825,96185
"North America",2012,24930034,12201496,100,100,9.0018364328942,3.17080509237026,5.84957921609058,22681,7749,14932
"Eastern and Southern Africa",2012,48537669,25862680,100,100,28.7152234780017,12.1907868518432,16.7283686021665,139945,63443,76502
"Eastern Europe and Central Asia",2012,31528062,14318285,100,100,11.5021234335703,4.06935644262206,7.46313715621709,37467,11677,25790
"Western Europe",2012,28843858,13711402,99.99,99.99,4.9284092163755,1.8720167238352,3.06212484145396,14421,5139,9282
"West and Central Africa",2012,43434776,23513334,100,100,27.2435618489162,12.4867614758917,14.9433949818023,119078,59091,59987
"World",2012,624345050,309037423,100,100,14.3111929203618,6.20011743713142,8.16167885058811,901226,384416,516810
"South Asia",2013,172509224,89360917,100,100,14.0095474945771,5.91369057750443,8.14401812029359,241991,106004,135987
"Sub-Saharan Africa",2013,94182182,50608056,100,100,27.6950259228476,12.241816438504,15.6447293897631,262082,124666,137416
"Europe and Central Asia",2013,59164777,27526278,100,100,7.98654980420399,2.90601438684811,5.09534255612983,48351,16023,32328
"Middle East and North Africa",2013,40227405,19427550,100,100,14.3983411848866,6.20305041681435,8.24644387518943,58661,24190,34471
"Latin America and Caribbean",2013,54546873,27676052,100,100,19.1266594959857,7.74627909020776,11.4692242175149,105040,43045,61995
"East Asia and Pacific",2013,176927122,82002975,100,100,8.54118601117759,3.67523445390341,4.88390103864092,153329,60382,92947
"North America",2013,24958361,12075789,100,100,8.92383579630041,3.11584524092363,5.82614391817718,22589,7536,15053
"Eastern and Southern Africa",2013,49599144,26454077,100,100,28.2452915012736,12.0268867057578,16.4158361976451,140635,64016,76619
"Eastern Europe and Central Asia",2013,30588795,13963581,100,100,11.0381700000355,4.00704321913981,7.05941415853078,34772,11213,23559
"Western Europe",2013,28575982,13562697,99.99,99.99,4.68162624276436,1.77108087209083,2.91570932769237,13579,4810,8769
"West and Central Africa",2013,44583038,24153979,100,100,27.0632480177557,12.4771598525715,14.7703805645717,121447,60650,60797
"World",2013,622515944,308677617,100,100,14.211127269659,6.16604663642156,8.09499474837757,892038,381845,510193
"South Asia",2014,174140109,90111051,100,100,13.6241589042421,5.80673933303976,7.86307841793039,237625,104955,132670
"Sub-Saharan Africa",2014,96571022,51958786,100,100,27.5146787407684,12.1782749327079,15.5254773395633,266934,127324,139610
"Europe and Central Asia",2014,57967361,27134132,100,100,7.69318575173972,2.82888304866038,4.87810228393998,45528,15372,30156
"Middle East and North Africa",2014,39828355,19313360,100,100,13.9793805040034,6.10967895794769,7.91807846343105,56272,23672,32600
"Latin America and Caribbean",2014,54614786,27657764,100,100,19.078619603918,7.75765963767611,11.4094707570208,104944,43079,61865
"East Asia and Pacific",2014,172499267,80582731,100,100,8.45818812697985,3.60988019079918,4.86587315529487,147954,58282,89672
"North America",2014,24920118,12003979,100,100,9.1141859988565,3.15189484024543,5.98114309266357,23074,7579,15495
"Eastern and Southern Africa",2014,50734716,27106620,100,100,28.0832892523908,11.9581582723735,16.3202916101427,142974,65217,77757
"Eastern Europe and Central Asia",2014,29684117,13665754,100,100,10.7011509239481,3.94660716667054,6.78130691173485,32607,10808,21799
"Western Europe",2014,28283244,13468378,99.99,99.99,4.50468247977709,1.69340911447316,2.81604207662324,12920,4564,8356
"West and Central Africa",2014,45836306,24852166,100,100,26.8663825629974,12.4183038160522,14.6297554954422,123959,62107,61852
"World",2014,620541018,308761803,100,100,14.1094629292228,6.13911820025169,8.01957786540285,882335,380263,502072
"South Asia",2015,175818487,90841754,100,100,13.252969145319,5.69914690839831,7.59711933609777,233418,103831,129587
"Sub-Saharan Africa",2015,99126779,53391671,100,100,27.100285948919,12.0333562841535,15.2504436871443,269852,129276,140576
"Europe and Central Asia",2015,56885197,26855852,100,100,7.21934361270238,2.71110435881285,4.5204947870106,41797,14583,27214
"Middle East and North Africa",2015,39573497,19360314,100,100,14.044467152463,6.09541986639305,7.99779721812064,56071,23661,32410
"Latin America and Caribbean",2015,54647200,27624132,100,100,19.1342349633947,7.79382755109024,11.4294868619036,105349,43225,62124
"East Asia and Pacific",2015,167681970,79575118,100,100,8.40438151335743,3.54825962698045,4.87341402460611,142658,56571,86087
"North America",2015,24825478,11996759,100,100,9.4289044609609,3.22732349607183,6.22166027528001,23767,7755,16012
"Eastern and Southern Africa",2015,51944606,27791519,100,100,27.4633075152882,11.7459044982291,15.9042123767561,143125,65673,77452
"Eastern Europe and Central Asia",2015,28865116,13417544,100,100,9.95236492743123,3.78079033432861,6.19499657627943,29363,10166,19197
"Western Europe",2015,28020081,13438308,99.99,99.99,4.38070199800411,1.64184332903366,2.74336284094999,12434,4417,8017
"West and Central Africa",2015,47182173,25600152,100,100,26.6843674459489,12.3453197968901,14.5182804642915,126728,63603,63125
"World",2015,618558608,309645600,100,100,14.0165996108923,6.10003106295177,7.96515624847754,872925,378904,494021
"South Asia",2016,177346246,91605605,100,100,12.8815392471231,5.56801107233921,7.3544779896616,228846,102289,126557
"Sub-Saharan Africa",2016,101974196,54958454,100,100,26.7529362765797,11.8640358913494,15.067663688024,273931,131181,142750
"Europe and Central Asia",2016,55918183,26642119,100,100,7.01782706870646,2.65626970366586,4.37317369383241,39830,14174,25656
"Middle East and North Africa",2016,39365726,19415962,100,100,13.6183669591743,5.96563133928565,7.69866300518294,53992,23221,30771
"Latin America and Caribbean",2016,54635793,27571923,100,100,19.1328317923359,7.76102516632175,11.4607538248741,105359,42964,62395
"East Asia and Pacific",2016,163827262,78848410,100,100,8.3543153458866,3.49300815988989,4.87834729289759,138300,55183,83117
"North America",2016,24698445,12028850,100,100,9.78527278868391,3.35089006072062,6.45601612823917,24485,8075,16410
"Eastern and Southern Africa",2016,53373235,28571376,100,100,27.0581777781917,11.5869762574771,15.6525674481043,144843,66596,78247
"Eastern Europe and Central Asia",2016,28136655,13226089,100,100,9.69791852516477,3.71640420969093,6.00382696327449,27801,9848,17953
"Western Europe",2016,27781528,13416030,99.99,99.99,4.28334365116068,1.60996034760396,2.67769428517886,12029,4325,7704
"West and Central Africa",2016,48600961,26387078,100,100,26.402819145983,12.1639432186596,14.4142095538786,129088,64585,64503
"World",2016,617765851,311071323,100,100,13.9156079452304,6.04312865446354,7.92034294215375,864754,377089,487665
"South Asia",2017,178975049,92426424,100,100,12.488163706554,5.40910473716509,7.11755858927125,223882,100255,123627
"Sub-Saharan Africa",2017,104722067,56555122,100,100,26.4628137917118,11.7111210403269,14.9264987853687,278119,133245,144874
"Europe and Central Asia",2017,55145899,26472333,100,100,6.57325190448521,2.54235016418692,4.04117582431868,36702,13479,23223
"Middle East and North Africa",2017,39246970,19467194,100,100,14.0484986736884,5.99721065686409,8.09986461118976,55494,23407,32087
"Latin America and Caribbean",2017,54648781,27517661,100,100,19.0681510577639,7.67530137467971,11.4809695847205,105071,42408,62663
"East Asia and Pacific",2017,161355647,78170987,100,100,8.27880520894231,3.42971809834586,4.86577534837117,134863,53714,81149
"North America",2017,24608851,12082434,100,100,9.84422973082033,3.40328028628205,6.46294465667974,24481,8239,16242
"Eastern and Southern Africa",2017,54584843,29301804,100,100,26.667291611439,11.4212384747366,15.4221936886237,145908,67318,78590
"Eastern Europe and Central Asia",2017,27568389,13107901,100,100,8.92242685340905,3.52143218718484,5.42008111431737,24965,9249,15716
"Western Europe",2017,27577510,13364432,99.99,99.99,4.21308584002544,1.58105485781816,2.63619895737506,11737,4229,7508
"West and Central Africa",2017,50137224,27253318,100,100,26.2283768848379,12.0226982590867,14.3785475645234,132211,65927,66284
"World",2017,618703264,312692155,100,100,13.8039630058262,5.97454579198631,7.8764755778593,858628,374746,483882
"South Asia",2018,180510580,93089479,100,100,12.0642763991231,5.19388575539586,6.90626097422447,218100,96946,121154
"Sub-Saharan Africa",2018,107718445,58297474,100,100,26.0845046365464,11.5236006475892,14.7306541648306,281810,135134,146676
"Europe and Central Asia",2018,54522098,26348358,100,100,6.31659108121052,2.45642908903327,3.86966755612692,34815,12966,21849
"Middle East and North Africa",2018,39305134,19656869,100,100,14.6019660389003,6.12003608625239,8.53415931562529,57714,24116,33598
"Latin America and Caribbean",2018,54552531,27384182,100,100,18.7704178913096,7.46051333272298,11.3949164849478,103297,41023,62274
"East Asia and Pacific",2018,159370545,77697845,100,100,8.17504309138228,3.35321330442227,4.83805281001007,131419,52198,79221
"North America",2018,24580393,12148422,100,100,9.82054417305556,3.36882826778499,6.47352409623823,24347,8199,16148
"Eastern and Southern Africa",2018,56007316,30125389,100,100,26.2674445135913,11.2339897738807,15.2042592324474,147368,68065,79303
"Eastern Europe and Central Asia",2018,27079228,13031107,100,100,8.49236348154714,3.37772822993251,5.13196965037782,23275,8819,14456
"Western Europe",2018,27442870,13317251,99.99,99.99,4.16257965720301,1.55403432112187,2.61260541456285,11540,4147,7393
"West and Central Africa",2018,51711129,28172085,100,100,25.874702094604,11.8331983051374,14.2096493885274,134442,67068,67374
"World",2018,620559726,314622629,100,100,13.6567523027989,5.87216335086687,7.83057134600654,851516,370581,480935
"South Asia",2019,181764320,93542214,100,100,11.6763088262198,4.94225786595522,6.76749767890091,212488,92686,119802
"Sub-Saharan Africa",2019,110805403,60053763,100,100,25.7949803425631,11.3547673449084,14.6060614269837,286506,137161,149345
"Europe and Central Asia",2019,54095370,26316267,100,100,6.12839729130921,2.3921334279458,3.74522293634461,33458,12609,20849
"Middle East and North Africa",2019,39532905,19923409,100,100,13.6976046491375,5.83309121579903,7.91065701729729,54406,23301,31105
"Latin America and Caribbean",2019,54384721,27210814,100,100,18.3027192228115,7.15217620290466,11.2308681679556,100453,39064,61389
"East Asia and Pacific",2019,157767575,77490513,100,100,8.07185494325824,3.27760236893349,4.81001790038969,128295,50881,77414
"North America",2019,24609594,12213812,100,100,10.1000402515908,3.47851900091965,6.64463473886441,25041,8513,16528
"Eastern and Southern Africa",2019,57485115,30948979,100,100,25.8978753370896,11.0427720564719,15.0209765001748,149055,68733,80322
"Eastern Europe and Central Asia",2019,26724923,13031465,100,100,8.20347859369497,3.2682655324013,4.95139553666331,22129,8533,13596
"Western Europe",2019,27370447,13284802,99.99,99.99,4.09910096013411,1.53189644981775,2.57114323551076,11329,4075,7254
"West and Central Africa",2019,53320288,29104784,100,100,25.6722325570906,11.6864245337514,14.1511847762906,137451,68428,69023
"World",2019,622959888,316750792,100,100,13.4385729715241,5.73285294978454,7.75015049486532,840653,364215,476438
"South Asia",2020,182718708,93698992,100,100,11.2779476618903,4.65418884928926,6.65473118829262,206292,87421,118871
"Sub-Saharan Africa",2020,114051829,61868121,100,100,25.4739251535397,11.1555637575601,14.4798927628987,291033,138810,152223
"Europe and Central Asia",2020,53815419,26360584,100,100,6.26816835127053,2.42917879093129,3.84833786105161,34010,12824,21186
"Middle East and North Africa",2020,39835085,20227959,100,100,12.7715389172084,5.54151572890997,7.27031173513279,51037,22464,28573
"Latin America and Caribbean",2020,54213438,27057353,100,100,17.8960537001767,6.90487919813018,11.0675949078993,97951,37498,60453
"East Asia and Pacific",2020,156577498,77300997,100,100,7.96527599756203,3.20748420213288,4.7731014429024,125532,49669,75863
"North America",2020,24677614,12263246,100,100,10.7970412717004,3.71112148512253,7.11231444954049,26840,9118,17722
"Eastern and Southern Africa",2020,59074083,31824564,100,100,25.5630828999001,10.85233207633,14.8721483157814,151111,69452,81659
"Eastern Europe and Central Asia",2020,26467620,13089998,100,100,8.57990714691592,3.36255761211277,5.23495236372284,22876,8820,14056
"Western Europe",2020,27347799,13270586,99.99,99.99,4.0325085858397,1.50757643758935,2.52874442376024,11134,4003,7131
"West and Central Africa",2020,54977746,30043557,100,100,25.3664473059081,11.4766704464434,14.0510359687087,139922,69358,70564
"World",2020,625889591,318777252,100,100,13.255687620328,5.59663274581098,7.70216104121375,832700,357807,474893
"South Asia",2021,183687783,93554109,100,100,10.9079830583855,4.38589198416859,6.55082227311421,200715,82242,118473
"Sub-Saharan Africa",2021,117490476,63769906,100,100,25.2073767343364,10.9755200069193,14.3897921793772,296477,140751,155726
"Europe and Central Asia",2021,53691228,26499603,100,100,6.03710671330504,2.38124858427846,3.66458441547786,32606,12638,19968
"Middle East and North Africa",2021,39821412,20471546,100,100,12.7253479646584,5.50952216903117,7.25580179647906,50763,22613,28150
"Latin America and Caribbean",2021,54047534,26922542,100,100,17.6239908914302,6.69327255309024,11.0043736101889,96198,36168,60030
"East Asia and Pacific",2021,155901035,77350306,100,100,7.9747931212123,3.16555737272795,4.82450800537052,124995,49043,75952
"North America",2021,24745833,12288816,100,100,11.589139052896,3.96727392893552,7.652223591112,28905,9769,19136
"Eastern and Southern Africa",2021,60731450,32741187,100,100,25.2594241901363,10.6732563612098,14.74352929678,153416,70265,83151
"Eastern Europe and Central Asia",2021,26372674,13207013,100,100,8.19250092679524,3.28904399865505,4.91963783343181,21687,8702,12985
"Western Europe",2021,27318554,13292590,99.99,99.99,3.9597225505944,1.47841230472074,2.48498407690995,10919,3936,6983
"West and Central Africa",2021,56759026,31028719,100,100,25.1410324015792,11.2943659335466,14.0048422816026,143062,70486,72576
"World",2021,629385301,320856828,100,100,13.1555865623987,5.48943535567509,7.70846633435753,830667,353225,477442
