CountryName,OfficialName,Code,ISO3Code,UNCode,UNICEFCode,MDGRegion1,MDGRegion1excl,MDGRegion2,MDGRegion3,MDGRegion4,MDGRegion5,MDGRegion6,UNICEFProgRegion1,UNICEFProgRegion2,UNICEFProgRegion3,UNICEFProgRegion4,UNICEFProgRegion5,UNICEFProgRegion6,ECACountries,WHORegion1,WBRegion1,WBRegion2,WBRegion3,WBRegion4,WBRegion5,UNPDRegion1,UNPDRegion2,UNPDRegion3,UNPDRegion4,UNPDRegion5,OICRegion1,OICRegion2,OICRegion3,OICRegion4,Countdown.and.COIA.75.Priority.Countries,ECAAfrica,AURegion1,AURegion2,FragileCountries2013,FragileCountries2014,FragileCountries2015,FragileCountries2017,FragileCountries2018,FragileCountries2018OECD1,FragileCountries2018OECD2,FragileCountries2019,FCSCountries2020,USAIDcountry,M49Region1,M49Region2,M49Region3,SDGSimpleRegion1,SDGSimpleRegion2,SDGSimpleRegion3,SDGSimpleRegion4,SDGSimpleRegion5,SDGSimpleRegion6,SDGRegion1,SDGRegion2,SDGRegion3,SDGRegion4,SDGRegion5,SDGRegion6,SDGRegion7,HAC2020,HAC2019,GlobalStrategy,Conflict,UNICEFReportRegion1,UNICEFReportRegion2,Wealthdata1,Wealthdata2,Wealthdata3,WealthdataGlobal,Wealthall1,Wealthall2,Wealthall3,WealthallGlobal,UNRegion,AfricanEconomicCommunity,GAVICountries,SDGRCRegion1,SDGRCRegion2,SDGRCRegion3,SDGRCRegion4,SDGRCRegion5,SDGRCRegion6,SDGRCRegion7,SDGRCRegion8,SDGRCRegion9,SDGRCRegion10,SDGRCRegion11,SDGRCRegion12,SDGRCRegion13,SDGRCRegion14,SDGRCRegion15,JHURegion,SPhumanitarian,JHUFragile2021,LiST_UNICEFProgramm,LiST_UNICEFReport,LiST_all,ListSBRESCAP,ListSBR,EAPRORegion1,EAPRORegion2,EAPRORegion3,EAPRORegion4,EAPRORegion5,EAPRORegion6,EAPRORegion7,EAPRORegion8,EAPRORegion9
Dominica,Dominica,117,DMA,212,DOM,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Caribbean,SIDS,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,Eastern Caribbean Area,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,,,Small island developing States (SIDS),,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49),Latin America and the Caribbean (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,,,,,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Carribean,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,,,,,,,,,,,,,,
Dominican Republic,Dominican Republic,116,DOM,214,DMR,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Caribbean,SIDS,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,Countdown,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,,,Small island developing States (SIDS),,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49),Latin America and the Caribbean (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Latin America,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,Latin America and the Caribbean,Latin America and Caribbean,LiST,,LiSTSBR,,,,,,,,,
Ecuador,Ecuador,118,ECU,218,ECU,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Latin America,,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,South America,Latin America and the Caribbean,,,,,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),South America (M49),Latin America and the Caribbean (MDG=M49),,,Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,,,,,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Latin America,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,Latin America and the Caribbean,Latin America and Caribbean,LiST,,LiSTSBR,,,,,,,,,
Egypt,Egypt,52,EGY,818,EGY,Northern Africa,Northern Africa,Developing regions,North Africa,,,,Middle East and North Africa,Middle East and North Africa,Africa,Developing countries,,North Africa,,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,,Less developed regions,Excluding least developed countries,Excluding China,OIC,Arab,OIC Lower middle income,OIC Middle income,,North Africa,Africa,Northern Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,,Africa,Northern Africa,,Western Asia and Northern Africa,Northern Africa,,,,,Western Asia (M49) and Northern Africa (M49),Northern Africa (M49),Northern Africa (M49),Northern Africa (MDG),,,Developing regions (MDG),HAC,HAC,,Non conflict,Middle East and North Africa,,Middle East and North Africa,,Lower middle income,Low and middle income,Middle East and North Africa,,Lower middle income,Low and middle income,African Group,,,ECA_North Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),ESCWA_All countries,ESCWA_Arab countries,Middle East and North Africa,Non-humanitarian,,Middle East and North Africa,Middle East and North Africa,LiST,,LiSTSBR,,,,,,,,,
El Salvador,El Salvador,119,SLV,222,ESL,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Latin America,,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Lower middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,Central America,Latin America and the Caribbean,,,,,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Central America (M49),Latin America and the Caribbean (MDG=M49),,,Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,Latin America and Caribbean,,Lower middle income,Low and middle income,Latin America and Caribbean,,Lower middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Latin America,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,Latin America and the Caribbean,Latin America and Caribbean,LiST,,LiSTSBR,,,,,,,,,
Equatorial Guinea,Equatorial Guinea,29,GNQ,226,EQG,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,Central Africa,,,,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Upper middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,,Excluding China,,,,,Countdown,Central Africa,Africa,Central Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,,Africa,Middle Africa,,Sub-Saharan Africa,,,,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49),Sub-Saharan Africa (MDG),,,Developing regions (MDG),,,,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Upper middle income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Upper middle income,Low and middle income,African Group,Economic Community of Central African States,,ECA_Central Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Eritrea,Eritrea,4,ERI,232,ETHB,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,Eastern Africa,Least developed countries,,,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,Eastern Africa,Africa,Eastern Africa,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Extremely Fragile,Fragile,Fragile and Conflict-affected Situation,,Africa,Eastern Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),HAC,HAC,Global Strategy,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,,GAVI,ECA_East Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Non-humanitarian,Fragile,Eastern and Southern Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
Estonia,Estonia,163,EST,233,EST,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Northern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Eastern European Group,,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Ethiopia,Ethiopia,5,ETH,231,ETH,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,Eastern Africa,Least developed countries,,LLDC,Eastern and Southern Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,,,,,Countdown,Eastern Africa,Africa,Eastern Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Extremely Fragile,Non-fragile,non-FCS,USAID,Africa,Eastern Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),Landlocked developing countries (LLDCs),,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Eastern Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),Landlocked developing countries (LLDCs),Developing regions (MDG),HAC,HAC,Global Strategy,Non conflict,Sub-Saharan Africa,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,Sub-Saharan Africa,Eastern and Southern Africa,Low income,Low and middle income,African Group,,GAVI,ECA_East Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,Eastern and Southern Africa,Humanitarian,,Eastern and Southern Africa,Eastern and Southern Africa,LiST,,LiSTSBR,,,,,,,,,
Federated States of Micronesia,Micronesia (Federated States of),77,FSM,583,FSM,Oceania,Oceania,Developing regions,,,,SIDS,East Asia and Pacific,East Asia and Pacific,Asia,Developing countries,,,,Western Pacific,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Lower middle income,Low and middle income,Oceania,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Fragile,Fragile,Fragile,Fragile,Fragile,Non-fragile,,Fragile,Fragile and Conflict-affected Situation,,Oceania,Micronesia,,Oceania,Oceania excluding Australia and New Zealand,,Small island developing States (SIDS),South Eastern Asia and Oceania (excl. Australia and New Zealand),,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Micronesia (M49),Oceania (MDG),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,East Asia and Pacific,,,,,,East Asia and Pacific,,Lower middle income,Low and middle income,Asia-Pacific Group,,,,,,,,ESCAP_ADB Group A (ADB_DMC_A),ESCAP_Pacific island developing economies (PIDE),,,,,ESCAP_PACIFIC (PAC),ESCAP_All countries,,,East Asia and the Pacific,Non-humanitarian,Fragile,,,,,,EAPR Program Countries,EAPR Program Countries (excluding China),Pacific Program Countries,Pacific Program Countries (excluding PNG),EAPR Countries,EAPR Countries (excluding China),Pacific Countries,Pacific Countries (excluding PNG),
Fiji,Fiji,76,FJI,242,FJI,Oceania,Oceania,Developing regions,,,,SIDS,East Asia and Pacific,East Asia and Pacific,Asia,Developing countries,,,,Western Pacific,East Asia and Pacific,East Asia and Pacific (excluding high-income),Middle income,Upper middle income,Low and middle income,Oceania,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Oceania,Melanesia,,Oceania,Oceania excluding Australia and New Zealand,,Small island developing States (SIDS),South Eastern Asia and Oceania (excl. Australia and New Zealand),,Oceania (M49) excluding Australia and New Zealand (M49),Oceania (M49),Melanesia (M49),Oceania (MDG),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,East Asia and Pacific,,,,,,East Asia and Pacific,,Upper middle income,Low and middle income,Asia-Pacific Group,,,,,,,,ESCAP_ADB Group C (ADB_DMC_C),ESCAP_Pacific island developing economies (PIDE),,,,,ESCAP_PACIFIC (PAC),ESCAP_All countries,,,East Asia and the Pacific,Non-humanitarian,,,,,,,EAPR Program Countries,EAPR Program Countries (excluding China),Pacific Program Countries,Pacific Program Countries (excluding PNG),EAPR Countries,EAPR Countries (excluding China),Pacific Countries,Pacific Countries (excluding PNG),
Finland,Finland,173,FIN,246,FIN,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Northern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Northern Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
France,France,174,FRA,250,FRA,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Western Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Gabon,Gabon,44,GAB,266,GAB,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,Central Africa,,,,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Upper middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Excluding least developed countries,Excluding China,OIC,Africa,OIC Upper middle income,OIC Middle income,Countdown,Central Africa,Africa,Central Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Africa,Middle Africa,,Sub-Saharan Africa,,,,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Middle Africa (M49),Sub-Saharan Africa (MDG),,,Developing regions (MDG),,,,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Upper middle income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Upper middle income,Low and middle income,African Group,Economic Community of Central African States,,ECA_Central Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Gambia The,Gambia,30,GMB,270,GAM,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,West Africa,Least developed countries,,,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,OIC,Africa,OIC Low income,,Countdown,West Africa,Africa,Western Africa,Non-fragile,Non-fragile,Non-fragile,Fragile,Fragile,Fragile,Other Fragile,Fragile,Fragile and Conflict-affected Situation,,Africa,Western Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),,,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,African Group,Economic Community of West African States,GAVI,ECA_West Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,Fragile,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Georgia,Georgia,139,GEO,268,GEO,Caucasus and Central Asia,Caucasus and Central Asia,Developing regions,,,,,CEE/CIS,CEE/CIS,,Developing countries,,,,Europe,Europe and Central Asia,Europe and Central Asia (excluding high-income),Middle income,Upper middle income,Low and middle income,Asia,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Asia,Western Asia,,Western Asia and Northern Africa,Western Asia,,,,,Western Asia (M49) and Northern Africa (M49),Asia (M49),Western Asia (M49),Caucasus and Central Asia (MDG),,,Developing regions (MDG),,,,Non conflict,Europe and Central Asia,Eastern Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Europe and Central Asia,Eastern Europe and Central Asia,Upper middle income,Low and middle income,Eastern European Group,,GAVI,,ECE_All countries,"ECE_Eastern Europe, Caucasus and Central Asia (CIS)",,,ESCAP_ADB Group C (ADB_DMC_C),,,,,,ESCAP_North and Central Asia (NCA),ESCAP_All countries,,,Eastern Europe and Central Asia,Non-humanitarian,,Europe and Central Asia,Eastern Europe and Central Asia,LiST,LiSTSBR,LiSTSBR,,,,,,,,,
Germany,Germany,175,DEU,276,GERB,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Western Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Western Europe (M49),Developed regions (MDG),,,Developed regions,,,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Ghana,Ghana,45,GHA,288,GHA,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,West Africa,,,,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Middle income,Lower middle income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Excluding least developed countries,Excluding China,,,,,Countdown,West Africa,Africa,Western Africa,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,USAID,Africa,Western Africa,,Sub-Saharan Africa,,,,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Sub-Saharan Africa (MDG),,,Developing regions (MDG),,,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Lower middle income,Low and middle income,African Group,Economic Community of West African States,GAVI,ECA_West Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Greece,Greece,176,GRC,300,GRE,Developed regions,Developed regions,Developed regions,,,,,Industrialized countries,Industrialized countries,,,,,,Europe,Europe and Central Asia,,High income,High income,,Europe,,More developed regions,More developed regions,,,,,,,,,,,,,,,Non-fragile,,,non-FCS,,Europe,Southern Europe,,Northern America and Europe,Europe,,,"North America, Europe, Australia and New Zealand","Australia and New Zealand, Central Asia, Europe and North America",Northern America (M49) and Europe (M49),Europe (M49),Southern Europe (M49),Developed regions (MDG),,,Developed regions,HAC,HAC,,,Europe and Central Asia,Western Europe,,,,,,,,,Western European and Others Group (WEOG),,,,ECE_All countries,ECE_European Union (EMU),ECE_Euro area (E25),,,,,,,,,ESCAP_Europe (Europe),,,High Income Countries,Non-humanitarian,,,,,,,,,,,,,,,
Grenada,Grenada,120,GRD,308,GND,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Caribbean,SIDS,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,Eastern Caribbean Area,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,Caribbean,Latin America and the Caribbean,,,Small island developing States (SIDS),,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Caribbean (M49),Latin America and the Caribbean (MDG=M49),,Small island developing States (SIDS),Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,,,,,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Carribean,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,,,,,,,,,,,,,,
Guatemala,Guatemala,121,GTM,320,GUA,Latin America and the Caribbean,Latin America and the Caribbean,Developing regions,,,Latin America,,Latin America and the Caribbean,Latin America and the Caribbean,,Developing countries,,,,Americas,Latin America and the Caribbean,Latin America and the Caribbean (excluding high-income),Middle income,Upper middle income,Low and middle income,Latin America and the Caribbean,,Less developed regions,Excluding least developed countries,Excluding China,,,,,Countdown,,,,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,,Americas,Latin America and the Caribbean,Central America,Latin America and the Caribbean,,,,,,Latin America and the Caribbean (MDG=M49),Latin America and the Caribbean (MDG=M49),Central America (M49),Latin America and the Caribbean (MDG=M49),,,Developing regions (MDG),,,,Non conflict,Latin America and Caribbean,,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin America and Caribbean,,Upper middle income,Low and middle income,Latin American and Caribbean Group (GRULAC),,,,ECLAC_All countries,,,ECLAC_Latin America,,,,,,,,ESCAP_Latin America (LAC),,,Latin America and Caribbean,Non-humanitarian,,Latin America and the Caribbean,Latin America and Caribbean,LiST,,,,,,,,,,,
Guinea,Guinea,31,GIN,324,GUI,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,West Africa,Least developed countries,,,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,OIC,Africa,OIC Low income,,Countdown,West Africa,Africa,Western Africa,Fragile,Non-fragile,Non-fragile,Non-fragile,Non-fragile,Fragile,Other Fragile,Non-fragile,non-FCS,,Africa,Western Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),,,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),,Developing regions (MDG),,,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,African Group,Economic Community of West African States,GAVI,ECA_West Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
Guinea-Bissau,Guinea-Bissau,32,GNB,624,BIS,Sub-Saharan Africa,Sub-Saharan Africa,Developing regions,West Africa,Least developed countries,,SIDS,West and Central Africa,Sub-Saharan Africa,Africa,Developing countries,Least developed countries,,,Africa,Sub-Saharan Africa,Sub-Saharan Africa (excluding high-income),Low income,Low income,Low and middle income,Africa,Sub-Saharan Africa,Less developed regions,Least developed countries,Excluding China,OIC,Africa,OIC Low income,,Countdown,West Africa,Africa,Western Africa,Fragile,Fragile,Fragile,Fragile,Fragile,Fragile,Other Fragile,Fragile,Fragile and Conflict-affected Situation,,Africa,Western Africa,,Sub-Saharan Africa,,Least developed countries (LDCs),Small island developing States (SIDS),,,Sub-Saharan Africa (M49),Sub-Saharan Africa (M49),Western Africa (M49),Sub-Saharan Africa (MDG),Least developed countries (LDCs),Small island developing States (SIDS),Developing regions (MDG),,,Global Strategy,Non conflict,Sub-Saharan Africa,West and Central Africa,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,Sub-Saharan Africa,West and Central Africa,Low income,Low and middle income,African Group,Economic Community of West African States,GAVI,ECA_West Africa,ECA_All countries,,,,,,,,,,,ESCAP_Africa (AFR),,,West and Central Africa,Non-humanitarian,Fragile,West and Central Africa,West and Central Africa,LiST,,LiSTSBR,,,,,,,,,
